Pair 9[4]: Avg MSE: 642.56, Avg SSIM: 0.89
Pair 9[5]: Avg MSE: 560.18, Avg SSIM: 0.88
Pair 9[6]: Avg MSE: 556.94, Avg SSIM: 0.87
Pair 9[7]: Avg MSE: 661.34, Avg SSIM: 0.85
Pair 9[8]: Avg MSE: 904.71, Avg SSIM: 0.82
Pair 9[9]: Avg MSE: 1299.11, Avg SSIM: 0.79
Pair 9[10]: Avg MSE: 1829.25, Avg SSIM: 0.76
Pair 10[1]: Avg MSE: 900.04, Avg SSIM: 0.88
Pair 10[2]: Avg MSE: 646.64, Avg SSIM: 0.89
Pair 10[3]: Avg MSE: 451.02, Avg SSIM: 0.89
Pair 10[4]: Avg MSE: 332.58, Avg SSIM: 0.88
Pair 10[5]: Avg MSE: 307.54, Avg SSIM: 0.87
Pair 10[6]: Avg MSE: 418.45, Avg SSIM: 0.84
Pair 10[7]: Avg MSE: 709.17, Avg SSIM: 0.82
Pair 10[8]: Avg MSE: 1229.21, Avg SSIM: 0.79
Pair 10[9]: Avg MSE: 2048.43, Avg SSIM: 0.76
Pair 10[10]: Avg MSE: 3223.62, Avg SSIM: 0.72
Pair 11[1]: Avg MSE: 838.04, Avg SSIM: 0.87
Pair 11[2]: Avg MSE: 602.81, Avg SSIM: 0.89
Pair 11[3]: Avg MSE: 413.23, Avg SSIM: 0.89
Pair 11[4]: Avg MSE: 290.27, Avg SSIM: 0.89
Pair 11[5]: Avg MSE: 265.54, Avg SSIM: 0.87
Pair 11[6]: Avg MSE: 381.68, Avg SSIM: 0.84
Pair 11[7]: Avg MSE: 694.51, Avg SSIM: 0.81
Pair 11[8]: Avg MSE: 1269.56, Avg SSIM: 0.77
Pair 11[9]: Avg MSE: 2177.95, Avg SSIM: 0.73
Pair 11[10]: Avg MSE: 3489.66, Avg SSIM: 0.69
Pair 12[1]: Avg MSE: 1211.22, Avg SSIM: 0.85
Pair 12[2]: Avg MSE: 951.07, Avg SSIM: 0.87
Pair 12[3]: Avg MSE: 726.07, Avg SSIM: 0.88
Pair 12[4]: Avg MSE: 561.66, Avg SSIM: 0.88
Pair 12[5]: Avg MSE: 492.45, Avg SSIM: 0.87
Pair 12[6]: Avg MSE: 570.69, Avg SSIM: 0.86
Pair 12[7]: Avg MSE: 863.22, Avg SSIM: 0.83
Pair 12[8]: Avg MSE: 1421.13, Avg SSIM: 0.80
Pair 12[9]: Avg MSE: 2162.47, Avg SSIM: 0.77
Pair 12[10]: Avg MSE: 3011.56, Avg SSIM: 0.74
Pair 13[1]: Avg MSE: 1036.86, Avg SSIM: 0.88
Pair 13[2]: Avg MSE: 784.79, Avg SSIM: 0.90
Pair 13[3]: Avg MSE: 589.77, Avg SSIM: 0.90
Pair 13[4]: Avg MSE: 464.59, Avg SSIM: 0.89
Pair 13[5]: Avg MSE: 440.06, Avg SSIM: 0.88
Pair 13[6]: Avg MSE: 556.22, Avg SSIM: 0.85
Pair 13[7]: Avg MSE: 861.15, Avg SSIM: 0.82
Pair 13[8]: Avg MSE: 1402.72, Avg SSIM: 0.78
Pair 13[9]: Avg MSE: 2243.08, Avg SSIM: 0.75
Pair 13[10]: Avg MSE: 3400.10, Avg SSIM: 0.71
Pair 14[1]: Avg MSE: 1185.64, Avg SSIM: 0.88
Pair 14[2]: Avg MSE: 952.79, Avg SSIM: 0.88
Pair 14[3]: Avg MSE: 783.00, Avg SSIM: 0.88
Pair 14[4]: Avg MSE: 658.21, Avg SSIM: 0.87
Pair 14[5]: Avg MSE: 599.29, Avg SSIM: 0.86
Pair 14[6]: Avg MSE: 622.24, Avg SSIM: 0.84
Pair 14[7]: Avg MSE: 738.83, Avg SSIM: 0.82
Pair 14[8]: Avg MSE: 975.48, Avg SSIM: 0.79
Pair 14[9]: Avg MSE: 1355.09, Avg SSIM: 0.76
Pair 14[10]: Avg MSE: 1910.90, Avg SSIM: 0.73
Pair 15[1]: Avg MSE: 939.82, Avg SSIM: 0.86
Pair 15[2]: Avg MSE: 736.10, Avg SSIM: 0.88
Pair 15[3]: Avg MSE: 571.90, Avg SSIM: 0.89
