Pair 9[5]: Avg MSE: 376.93, Avg SSIM: 0.93
Pair 9[6]: Avg MSE: 396.81, Avg SSIM: 0.93
Pair 9[7]: Avg MSE: 415.47, Avg SSIM: 0.93
Pair 9[8]: Avg MSE: 431.78, Avg SSIM: 0.93
Pair 9[9]: Avg MSE: 447.09, Avg SSIM: 0.93
Pair 9[10]: Avg MSE: 461.00, Avg SSIM: 0.92
Pair 10[1]: Avg MSE: 458.74, Avg SSIM: 0.87
Pair 10[2]: Avg MSE: 477.19, Avg SSIM: 0.87
Pair 10[3]: Avg MSE: 495.28, Avg SSIM: 0.87
Pair 10[4]: Avg MSE: 510.61, Avg SSIM: 0.87
Pair 10[5]: Avg MSE: 524.23, Avg SSIM: 0.87
Pair 10[6]: Avg MSE: 543.09, Avg SSIM: 0.87
Pair 10[7]: Avg MSE: 557.22, Avg SSIM: 0.87
Pair 10[8]: Avg MSE: 570.29, Avg SSIM: 0.87
Pair 10[9]: Avg MSE: 581.62, Avg SSIM: 0.86
Pair 10[10]: Avg MSE: 593.61, Avg SSIM: 0.86
Pair 11[1]: Avg MSE: 449.83, Avg SSIM: 0.87
Pair 11[2]: Avg MSE: 467.48, Avg SSIM: 0.87
Pair 11[3]: Avg MSE: 485.60, Avg SSIM: 0.87
Pair 11[4]: Avg MSE: 497.23, Avg SSIM: 0.87
Pair 11[5]: Avg MSE: 512.07, Avg SSIM: 0.87
Pair 11[6]: Avg MSE: 530.14, Avg SSIM: 0.87
Pair 11[7]: Avg MSE: 548.46, Avg SSIM: 0.87
Pair 11[8]: Avg MSE: 563.79, Avg SSIM: 0.86
Pair 11[9]: Avg MSE: 575.03, Avg SSIM: 0.86
Pair 11[10]: Avg MSE: 584.50, Avg SSIM: 0.86
Pair 12[1]: Avg MSE: 276.13, Avg SSIM: 0.90
Pair 12[2]: Avg MSE: 292.84, Avg SSIM: 0.90
Pair 12[3]: Avg MSE: 307.91, Avg SSIM: 0.90
Pair 12[4]: Avg MSE: 320.36, Avg SSIM: 0.90
Pair 12[5]: Avg MSE: 331.16, Avg SSIM: 0.90
Pair 12[6]: Avg MSE: 343.84, Avg SSIM: 0.90
Pair 12[7]: Avg MSE: 355.74, Avg SSIM: 0.90
Pair 12[8]: Avg MSE: 365.51, Avg SSIM: 0.90
Pair 12[9]: Avg MSE: 374.82, Avg SSIM: 0.90
Pair 12[10]: Avg MSE: 383.26, Avg SSIM: 0.90
Pair 13[1]: Avg MSE: 315.66, Avg SSIM: 0.90
Pair 13[2]: Avg MSE: 330.97, Avg SSIM: 0.90
Pair 13[3]: Avg MSE: 343.56, Avg SSIM: 0.90
Pair 13[4]: Avg MSE: 355.28, Avg SSIM: 0.89
Pair 13[5]: Avg MSE: 366.58, Avg SSIM: 0.89
Pair 13[6]: Avg MSE: 377.02, Avg SSIM: 0.89
Pair 13[7]: Avg MSE: 385.73, Avg SSIM: 0.89
Pair 13[8]: Avg MSE: 395.70, Avg SSIM: 0.89
Pair 13[9]: Avg MSE: 404.18, Avg SSIM: 0.89
Pair 13[10]: Avg MSE: 412.55, Avg SSIM: 0.89
Pair 14[1]: Avg MSE: 345.94, Avg SSIM: 0.90
Pair 14[2]: Avg MSE: 375.25, Avg SSIM: 0.90
Pair 14[3]: Avg MSE: 400.71, Avg SSIM: 0.90
Pair 14[4]: Avg MSE: 421.87, Avg SSIM: 0.89
Pair 14[5]: Avg MSE: 442.37, Avg SSIM: 0.89
Pair 14[6]: Avg MSE: 462.25, Avg SSIM: 0.89
Pair 14[7]: Avg MSE: 478.61, Avg SSIM: 0.89
Pair 14[8]: Avg MSE: 494.88, Avg SSIM: 0.89
Pair 14[9]: Avg MSE: 508.99, Avg SSIM: 0.89
Pair 14[10]: Avg MSE: 521.41, Avg SSIM: 0.89
Pair 15[1]: Avg MSE: 366.20, Avg SSIM: 0.87
Pair 15[2]: Avg MSE: 389.93, Avg SSIM: 0.87
Pair 15[3]: Avg MSE: 411.02, Avg SSIM: 0.87
Pair 15[4]: Avg MSE: 426.39, Avg SSIM: 0.87
Pair 15[5]: Avg MSE: 442.77, Avg SSIM: 0.87
Pair 15[6]: Avg MSE: 460.23, Avg SSIM: 0.87
Pair 15[7]: Avg MSE: 476.99, Avg SSIM: 0.87
Pair 15[8]: Avg MSE: 491.84, Avg SSIM: 0.87
Pair 15[9]: Avg MSE: 504.59, Avg SSIM: 0.86
Pair 15[10]: Avg MSE: 516.25, Avg SSIM: 0.86
Pair 16[1]: Avg MSE: 237.92, Avg SSIM: 0.93
Pair 16[2]: Avg MSE: 259.38, Avg SSIM: 0.93
Pair 16[3]: Avg MSE: 278.65, Avg SSIM: 0.93
Pair 16[4]: Avg MSE: 294.26, Avg SSIM: 0.93
Pair 16[5]: Avg MSE: 309.32, Avg SSIM: 0.93
Pair 16[6]: Avg MSE: 323.70, Avg SSIM: 0.93
Pair 16[7]: Avg MSE: 336.93, Avg SSIM: 0.93
Pair 16[8]: Avg MSE: 348.45, Avg SSIM: 0.92
Pair 16[9]: Avg MSE: 358.71, Avg SSIM: 0.92
Pair 16[10]: Avg MSE: 367.02, Avg SSIM: 0.92
Pair 17[1]: Avg MSE: 465.66, Avg SSIM: 0.90
Pair 17[2]: Avg MSE: 490.79, Avg SSIM: 0.90
Pair 17[3]: Avg MSE: 513.79, Avg SSIM: 0.90
Pair 17[4]: Avg MSE: 531.67, Avg SSIM: 0.90
Pair 17[5]: Avg MSE: 549.04, Avg SSIM: 0.89
Pair 17[6]: Avg MSE: 571.35, Avg SSIM: 0.89
Pair 17[7]: Avg MSE: 588.74, Avg SSIM: 0.89
Pair 17[8]: Avg MSE: 607.62, Avg SSIM: 0.89
Pair 17[9]: Avg MSE: 622.39, Avg SSIM: 0.89
Pair 17[10]: Avg MSE: 633.71, Avg SSIM: 0.89
Pair 18[1]: Avg MSE: 371.86, Avg SSIM: 0.91
Pair 18[2]: Avg MSE: 390.89, Avg SSIM: 0.91
Pair 18[3]: Avg MSE: 407.64, Avg SSIM: 0.90
Pair 18[4]: Avg MSE: 420.97, Avg SSIM: 0.90
Pair 18[5]: Avg MSE: 436.34, Avg SSIM: 0.90
Pair 18[6]: Avg MSE: 449.59, Avg SSIM: 0.90
Pair 18[7]: Avg MSE: 462.01, Avg SSIM: 0.90
Pair 18[8]: Avg MSE: 474.29, Avg SSIM: 0.90
Pair 18[9]: Avg MSE: 485.32, Avg SSIM: 0.90
Pair 18[10]: Avg MSE: 495.79, Avg SSIM: 0.90
Pair 19[1]: Avg MSE: 406.89, Avg SSIM: 0.88
Pair 19[2]: Avg MSE: 431.56, Avg SSIM: 0.88
Pair 19[3]: Avg MSE: 456.36, Avg SSIM: 0.88
Pair 19[4]: Avg MSE: 473.89, Avg SSIM: 0.88
Pair 19[5]: Avg MSE: 491.72, Avg SSIM: 0.88
Pair 19[6]: Avg MSE: 511.98, Avg SSIM: 0.88
Pair 19[7]: Avg MSE: 529.99, Avg SSIM: 0.88
Pair 19[8]: Avg MSE: 549.08, Avg SSIM: 0.87
Pair 19[9]: Avg MSE: 561.76, Avg SSIM: 0.87
Pair 19[10]: Avg MSE: 575.38, Avg SSIM: 0.87
Pair 20[1]: Avg MSE: 183.33, Avg SSIM: 0.94
Pair 20[2]: Avg MSE: 191.58, Avg SSIM: 0.94
Pair 20[3]: Avg MSE: 198.28, Avg SSIM: 0.93
Pair 20[4]: Avg MSE: 203.30, Avg SSIM: 0.93
Pair 20[5]: Avg MSE: 209.53, Avg SSIM: 0.93
Pair 20[6]: Avg MSE: 215.51, Avg SSIM: 0.93
Pair 20[7]: Avg MSE: 222.83, Avg SSIM: 0.93
Pair 20[8]: Avg MSE: 228.53, Avg SSIM: 0.93
Pair 20[9]: Avg MSE: 233.08, Avg SSIM: 0.93
Pair 20[10]: Avg MSE: 237.56, Avg SSIM: 0.93
Pair 21[1]: Avg MSE: 518.07, Avg SSIM: 0.89
Pair 21[2]: Avg MSE: 578.00, Avg SSIM: 0.89
Pair 21[3]: Avg MSE: 630.88, Avg SSIM: 0.88
Pair 21[4]: Avg MSE: 678.07, Avg SSIM: 0.88
Pair 21[5]: Avg MSE: 717.04, Avg SSIM: 0.88
Pair 21[6]: Avg MSE: 756.66, Avg SSIM: 0.87
Pair 21[7]: Avg MSE: 790.71, Avg SSIM: 0.87
Pair 21[8]: Avg MSE: 825.94, Avg SSIM: 0.87
Pair 21[9]: Avg MSE: 852.81, Avg SSIM: 0.87
Pair 21[10]: Avg MSE: 880.78, Avg SSIM: 0.87
Pair 22[1]: Avg MSE: 356.01, Avg SSIM: 0.90
Pair 22[2]: Avg MSE: 397.93, Avg SSIM: 0.90
Pair 22[3]: Avg MSE: 436.31, Avg SSIM: 0.89
Pair 22[4]: Avg MSE: 467.09, Avg SSIM: 0.89
Pair 22[5]: Avg MSE: 494.47, Avg SSIM: 0.89
Pair 22[6]: Avg MSE: 521.45, Avg SSIM: 0.89
Pair 22[7]: Avg MSE: 546.99, Avg SSIM: 0.89
Pair 22[8]: Avg MSE: 569.72, Avg SSIM: 0.88
Pair 22[9]: Avg MSE: 588.69, Avg SSIM: 0.88
Pair 22[10]: Avg MSE: 608.20, Avg SSIM: 0.88
Pair 23[1]: Avg MSE: 191.58, Avg SSIM: 0.93
Pair 23[2]: Avg MSE: 203.72, Avg SSIM: 0.93
Pair 23[3]: Avg MSE: 213.37, Avg SSIM: 0.93
Pair 23[4]: Avg MSE: 222.32, Avg SSIM: 0.92
Pair 23[5]: Avg MSE: 229.85, Avg SSIM: 0.92
Pair 23[6]: Avg MSE: 238.94, Avg SSIM: 0.92
Pair 23[7]: Avg MSE: 246.07, Avg SSIM: 0.92
Pair 23[8]: Avg MSE: 253.20, Avg SSIM: 0.92
Pair 23[9]: Avg MSE: 259.31, Avg SSIM: 0.92
Pair 23[10]: Avg MSE: 264.56, Avg SSIM: 0.92
Pair 24[1]: Avg MSE: 516.52, Avg SSIM: 0.87
Pair 24[2]: Avg MSE: 546.39, Avg SSIM: 0.87
Pair 24[3]: Avg MSE: 574.30, Avg SSIM: 0.86
Pair 24[4]: Avg MSE: 596.05, Avg SSIM: 0.86
Pair 24[5]: Avg MSE: 619.10, Avg SSIM: 0.86
Pair 24[6]: Avg MSE: 643.35, Avg SSIM: 0.86
Pair 24[7]: Avg MSE: 665.50, Avg SSIM: 0.86
Pair 24[8]: Avg MSE: 685.09, Avg SSIM: 0.86
Pair 24[9]: Avg MSE: 700.17, Avg SSIM: 0.86
Pair 24[10]: Avg MSE: 715.60, Avg SSIM: 0.86
Pair 25[1]: Avg MSE: 1041.16, Avg SSIM: 0.79
Pair 25[2]: Avg MSE: 1093.34, Avg SSIM: 0.79
Pair 25[3]: Avg MSE: 1137.87, Avg SSIM: 0.79
Pair 25[4]: Avg MSE: 1177.34, Avg SSIM: 0.79
Pair 25[5]: Avg MSE: 1225.42, Avg SSIM: 0.78
Pair 25[6]: Avg MSE: 1269.91, Avg SSIM: 0.78
Pair 25[7]: Avg MSE: 1306.57, Avg SSIM: 0.78
Pair 25[8]: Avg MSE: 1336.31, Avg SSIM: 0.78
Pair 25[9]: Avg MSE: 1368.22, Avg SSIM: 0.78
Pair 25[10]: Avg MSE: 1395.16, Avg SSIM: 0.78
Pair 26[1]: Avg MSE: 1026.17, Avg SSIM: 0.79
Pair 26[2]: Avg MSE: 1060.16, Avg SSIM: 0.79
Pair 26[3]: Avg MSE: 1087.12, Avg SSIM: 0.79
Pair 26[4]: Avg MSE: 1123.33, Avg SSIM: 0.79
Pair 26[5]: Avg MSE: 1158.76, Avg SSIM: 0.78
Pair 26[6]: Avg MSE: 1187.04, Avg SSIM: 0.78
Pair 26[7]: Avg MSE: 1212.75, Avg SSIM: 0.78
Pair 26[8]: Avg MSE: 1240.28, Avg SSIM: 0.78
Pair 26[9]: Avg MSE: 1263.86, Avg SSIM: 0.78
Pair 26[10]: Avg MSE: 1289.24, Avg SSIM: 0.78
Pair 27[1]: Avg MSE: 266.74, Avg SSIM: 0.90
Pair 27[2]: Avg MSE: 284.64, Avg SSIM: 0.90
Pair 27[3]: Avg MSE: 299.62, Avg SSIM: 0.90
Pair 27[4]: Avg MSE: 311.14, Avg SSIM: 0.90
Pair 27[5]: Avg MSE: 321.95, Avg SSIM: 0.90
Pair 27[6]: Avg MSE: 335.60, Avg SSIM: 0.90
Pair 27[7]: Avg MSE: 347.60, Avg SSIM: 0.90
Pair 27[8]: Avg MSE: 358.58, Avg SSIM: 0.90
Pair 27[9]: Avg MSE: 367.41, Avg SSIM: 0.90
Pair 27[10]: Avg MSE: 375.13, Avg SSIM: 0.90
Pair 28[1]: Avg MSE: 356.53, Avg SSIM: 0.87
Pair 28[2]: Avg MSE: 376.05, Avg SSIM: 0.87
Pair 28[3]: Avg MSE: 393.00, Avg SSIM: 0.87
Pair 28[4]: Avg MSE: 406.27, Avg SSIM: 0.87
Pair 28[5]: Avg MSE: 419.27, Avg SSIM: 0.87
Pair 28[6]: Avg MSE: 435.27, Avg SSIM: 0.87
Pair 28[7]: Avg MSE: 449.98, Avg SSIM: 0.86
Pair 28[8]: Avg MSE: 464.42, Avg SSIM: 0.86
Pair 28[9]: Avg MSE: 475.61, Avg SSIM: 0.86
Pair 28[10]: Avg MSE: 483.75, Avg SSIM: 0.86
Pair 29[1]: Avg MSE: 217.16, Avg SSIM: 0.93
Pair 29[2]: Avg MSE: 237.11, Avg SSIM: 0.93
Pair 29[3]: Avg MSE: 254.51, Avg SSIM: 0.93
Pair 29[4]: Avg MSE: 269.71, Avg SSIM: 0.93
Pair 29[5]: Avg MSE: 283.55, Avg SSIM: 0.93
Pair 29[6]: Avg MSE: 296.74, Avg SSIM: 0.93
Pair 29[7]: Avg MSE: 307.93, Avg SSIM: 0.92
Pair 29[8]: Avg MSE: 317.19, Avg SSIM: 0.92
Pair 29[9]: Avg MSE: 326.47, Avg SSIM: 0.92
Pair 29[10]: Avg MSE: 334.49, Avg SSIM: 0.92
Pair 30[1]: Avg MSE: 182.80, Avg SSIM: 0.91
Pair 30[2]: Avg MSE: 199.30, Avg SSIM: 0.91
Pair 30[3]: Avg MSE: 213.92, Avg SSIM: 0.91
Pair 30[4]: Avg MSE: 225.87, Avg SSIM: 0.90
Pair 30[5]: Avg MSE: 235.21, Avg SSIM: 0.90
Pair 30[6]: Avg MSE: 246.36, Avg SSIM: 0.90
